:START_ID(r),:END_ID(c)
025256505,67d14043-71b8-3d7c-8bf8-5b820e57f97e
025256513,70e896cc-1ac2-31e3-a458-77098275e497
025256521,70e896cc-1ac2-31e3-a458-77098275e497
02525653X,67d14043-71b8-3d7c-8bf8-5b820e57f97e
025256548,70e896cc-1ac2-31e3-a458-77098275e497
025256556,70e896cc-1ac2-31e3-a458-77098275e497
025256580,87b12925-c4b5-349e-9887-2b339992e7d4
025256580,a6445138-b4f5-39e1-82f2-9c1ec4260cad
025256599,6f872d83-5208-37a5-9012-a04af2a978fc
025256629,acbb0f51-142c-3781-926c-4c642aa49e86
025256629,d71a3dd2-f622-35d8-93e1-4cbdbcb0e887
02525667X,5f7d0dff-fd43-3666-a1fc-9654c065b9b5
025256696,1293a101-b8fb-31a6-8bf6-c6c167fdac88
025256718,b8deaa75-2014-3e2a-ac3b-d8995e915de2
025256726,c692aaaa-e42c-39ad-878f-806431efb489
025256734,902cef49-6747-3f31-94e4-50167ed27ead
025256734,281ec947-896c-3bc8-8e9c-8786dd5e2917
025256734,911307ba-9f26-3230-9e14-a171665ce889
025256742,beed6e6e-4a1e-3b6d-9f38-c3f3c235cc8d
025256750,68c291c7-a481-374d-a227-5435900bc0d9
025256769,579e5b68-21f8-31f0-a999-e1b390737d26
025256769,2ff74b7d-0bd2-32c5-844d-26bbb58e8a84
025256769,7442f42f-4727-374e-9657-6ee66350e047
025256777,1d6e8cec-c602-3eae-8d09-ac06b0e888b6
025256785,ab184ae7-44c7-3f13-800f-d45393000afb
025256793,ab184ae7-44c7-3f13-800f-d45393000afb
025256807,ab184ae7-44c7-3f13-800f-d45393000afb
025256815,c6afcc8f-1cbd-335d-8322-d6709c3cf770
025256823,78acdfd6-6f5e-3c35-8605-9d92ce52f8a6
025256831,78acdfd6-6f5e-3c35-8605-9d92ce52f8a6
025256858,d03f7580-2438-3c84-9ed5-d92bdfde3dd6
025256874,74c985ce-cb03-3f46-8105-46b92205de8b
025256882,e10f5571-50e3-33ce-b37d-4dc6916d83ac
025256939,4dc4a242-4b71-3910-8625-845f45c14790
025256955,7aaae7fb-6ef7-3e98-a119-dab5bd128446
025256955,9e9381e4-6523-34f7-b528-5b5bd453be15
025256971,3f18a1f2-8db7-37d8-ab17-779533aca56c
025256971,eb374008-c119-33f6-bfc1-80d2cc75a949
025256998,579e5b68-21f8-31f0-a999-e1b390737d26
025257005,a7bef24f-231d-3b7e-8f23-5b390a345093
025257005,5bd647c1-7663-3883-9703-e004c9f2902c
025257005,ae670431-6488-35d8-8170-515919472c55
025257005,9e9381e4-6523-34f7-b528-5b5bd453be15
025257056,515016ba-9448-35b8-98e0-8e2699eadc97
025257072,183a209e-c542-3c2a-97f3-8e1d9856e063
025257072,ae670431-6488-35d8-8170-515919472c55
025257072,2cfb61eb-2aea-3c17-acad-da9f874168f1
025257072,71b14176-ba1b-3ab1-87e1-1aaf646db6f2
025257110,d10e4e16-13fb-37ab-a5ba-e30e753cec1a
025257145,8fda6528-d73d-369e-8298-b887d6240231
025257188,ca2cb17c-fa86-3f01-a414-d24819f38ff2
025257188,9e9381e4-6523-34f7-b528-5b5bd453be15
025257196,6c171975-bd96-394f-831c-f19132852266
025257196,e24f6196-d32f-3f4c-bea3-e3e9362e9629
025257218,efb66270-0dc1-3aba-a719-718fcc56e0cb
025257218,f584ae00-2739-3724-8fe0-1e304945e132
025257218,0df9e30e-1bce-3cd3-8c9d-1fc72d5dfb91
025257226,8d75101c-bc81-3839-8c93-d6e865f31bc3
025257226,39a51438-61ea-31e0-ad65-e55020cf51bf
025257242,0ec7836c-1fd5-3511-92a1-56f68950141e
025257242,9e9381e4-6523-34f7-b528-5b5bd453be15
025257250,41132ec9-cb5a-3e3c-bc16-217266f64508
025257269,8d75101c-bc81-3839-8c93-d6e865f31bc3
025257269,39a51438-61ea-31e0-ad65-e55020cf51bf
025257285,8b6e2442-1877-3c58-b6a7-673781e54507
025257285,8b6e2442-1877-3c58-b6a7-673781e54507
025257285,ccb1e514-d5bc-3f6c-b881-87fb6f43cd11
025257285,4347be81-20a0-3dc1-a3ee-9a0e46dc7f40
025257293,e0e35c52-eff3-3a58-8359-e280a74d2163
025257293,39a51438-61ea-31e0-ad65-e55020cf51bf
025257358,0de6c780-77c5-3a0e-9389-50fec033cda2
025257358,0134a765-7e97-3855-9f49-0d76208214ba
025257382,71f8f56d-b7e5-3681-a59a-cc74ee6cd77e
025257382,85ed76a0-6f7a-35db-9565-769b899ec9c7
025257404,8b7c4a1a-21c7-3134-83be-da53ccfbde42
025257404,35085e5b-38a6-3867-84cc-c3b0e5de7dbd
025257412,e0f1d618-2f82-3cb5-a8d2-5906a20c8e23
025257420,99058c6c-9d2f-353a-a923-4d62d0147f25
025257420,5349dd8c-0584-327a-9eee-246fd6800ff7
025257463,f34b5694-626b-3c05-ad96-6cdd9afa43db
025257463,2c448ffa-dabb-38a3-87a2-3581a438c433
025257463,9e9381e4-6523-34f7-b528-5b5bd453be15
025257471,f34b5694-626b-3c05-ad96-6cdd9afa43db
025257471,53332928-153e-3cf3-9118-3b6b6ff8b03b
025257471,9e9381e4-6523-34f7-b528-5b5bd453be15
02525748X,5f65195c-c32e-368e-bf72-a128cdae59d9
02525748X,e65c1788-43ce-351f-9e1d-7612a078d16d
02525748X,d7ac3b3f-d01e-3f12-be7d-237eddbba27e
02525748X,ae08f689-c81b-33b1-8904-7d83a220f49f
02525748X,9e9381e4-6523-34f7-b528-5b5bd453be15
025257501,cd43ca96-ebf5-3f8c-b374-1348fdd3d565
025257552,8e96585b-1ce4-36de-a4d1-027cd3849754
025257552,d4bdef85-cb89-38f2-a8eb-fc44b20d768f
025257579,c0e37f67-2376-3fc9-8441-0290a2998596
025257595,2b1ce268-86f1-3c72-89ce-39219eccf009
025257633,803034e5-d4b8-3d46-86ab-59308db18113
025257684,943a1a27-9f98-3d65-abe9-17d957ac7bed
025257692,0843837b-db63-34c2-bd04-572d2f216b7f
025257714,0843837b-db63-34c2-bd04-572d2f216b7f
025257730,7546a356-a99f-3cd9-b443-fd79b741a28a
025257749,4aa48dd6-7e0d-32c2-9110-52742c7fce3e
025257757,22f3d85d-d716-3481-9da2-fe2f801492e0
025257765,943a1a27-9f98-3d65-abe9-17d957ac7bed
025257773,943a1a27-9f98-3d65-abe9-17d957ac7bed
025257781,943a1a27-9f98-3d65-abe9-17d957ac7bed
02525782X,c282b4db-2823-388b-923c-3de9aa313366
02525782X,a96111f0-1bd8-3b5f-9220-835db022e84c
025257838,943a1a27-9f98-3d65-abe9-17d957ac7bed
025257854,19d4b68b-f4e9-3c43-be4f-17e30d0bb2c2
025257854,388ee84c-7163-392f-a09e-e1a307b6dca6
025257862,5be41660-4848-3d22-aaad-29ede6565e88
025257862,029ffdae-25f4-33c1-a385-3fddbe3ee03f
025257870,18b726f0-70af-36cc-93e9-b9667bb96d6d
025257897,26598f44-f1c0-3918-a3c8-b58f4b8443c1
025257900,2901f827-383a-3d64-bd03-201647dc79a5
025257919,ee1f7fb4-cf0a-3feb-a5a1-f8f3d6b21221
025257927,bc09af51-c85b-30db-8d07-763cafbe5a3b
025257927,793f7b65-2731-3e27-9ff2-1a3c4a7b3d82
025257943,fe5f1bf4-22df-3a40-a831-5b1c87d3dfe9
025258028,58486f38-90d5-30b1-a548-dde6b1c2ea35
025258028,ae08f689-c81b-33b1-8904-7d83a220f49f
025258028,9e9381e4-6523-34f7-b528-5b5bd453be15
025258044,f590d1c6-9660-30ca-9c6e-252f1b4b6f92
025258060,4d853199-b59d-3e36-97ac-af76fa538a18
025258125,c54013d2-d377-33a6-8591-3f006dfa5289
025258168,53332928-153e-3cf3-9118-3b6b6ff8b03b
025258168,9e9381e4-6523-34f7-b528-5b5bd453be15
025258222,04c177c1-b21c-36c6-beef-cb607873bfa6
025258230,a408b847-5e96-35f5-9750-471c52d30dbd
025258230,ae670431-6488-35d8-8170-515919472c55
025258230,5bd647c1-7663-3883-9703-e004c9f2902c
025258230,9e9381e4-6523-34f7-b528-5b5bd453be15
025258249,eef2e65a-ea9b-3992-a2b2-4afc0c6026fc
025258303,706ccc80-85ad-3928-821b-c280e06367f5
025258346,fad6728a-b319-334b-b1e8-fdd24aa8725d
025258346,ee3debba-5026-3c14-a791-5d4a9d2b4869
025258354,9e9381e4-6523-34f7-b528-5b5bd453be15
025258362,dacaa673-1244-3de6-aaf8-5145972d85fa
025258400,e90ffae1-eca6-3ea2-a934-1dfecc6f7305
025258427,58e0f593-6947-3c07-850c-b1091def7e96
025258494,7ea074d8-9c40-39d7-a737-07bdd991f3e5
025258508,d33b398a-a514-367f-9de5-18d6822fdb60
025258532,e591a3ce-03d9-3e83-ad0a-01e75bde7377
025258540,8d12dadc-b75b-326a-b16e-f5801c82e335
025258621,1399aa0c-b8b1-335b-b701-8efe5d916ce9
025258621,a80c9817-68e8-3965-8524-156c5ed18807
025258621,0c2f053a-de31-33be-ae6d-c40cad910614
025258664,fdacc870-e2b3-33ce-943a-bddc44989021
025258753,1068d17a-5e59-32a9-8d0e-69b6f6121b7c
025258753,133a346a-2482-3500-8762-7fd8de2e45d7
025258826,6795897b-5f35-32fc-bce8-b658ed1cc6d9
025258877,bea3b953-ebe2-393d-a0ba-7c10b8e74d8b
025258877,1b937908-cf0f-3995-aec3-b7c3c2dbdbd1
025259024,ac3fed68-9df9-3fa6-8812-416594e5c147
025259024,bbd44dd1-b978-3da8-8b87-9fe8ab64fe8a
025259059,97ace4f6-dee0-35fa-bffb-a27cab3c48ef
025259075,fd6f2ee1-9128-37e0-a75e-36afd071f4c0
025259164,e3b92e2b-8090-32c1-b2d7-9107213a261e
025259164,afee6827-4797-3a81-b7c9-7cc49fb757d2
025259199,ae77a1a7-381a-3955-a3ed-9ff7087354b6
025259199,d3fa524a-b61e-3e8f-852f-fbebe93a4cb8
025259296,9a0e8dac-7faa-3259-b84c-1b987e4fc98b
025259458,3a7df83c-8ddb-3a7d-89c0-5d8fe8565575
025259458,3a21e613-0beb-34e1-a42c-f607c5202656
025259466,e586a117-8b0d-357a-9db4-1d4f62b03504
025259466,684c0763-4a9a-366e-a346-8710a65803e2
025259504,b7fcc9bb-c8c8-369a-b15c-f9357b37af63
025259504,e778be0f-936a-3013-9910-f8191dacb792
025259660,aa007981-5961-3854-9eda-ef7b3f8f3fab
025259679,ef91261c-f871-3b03-8981-2615edb322a0
025259679,f6193f30-34d2-3467-9c59-923baf5a090f
025259725,c0cdd82c-e092-3012-a7bd-d88a8bfbb1f4
025259725,112d75b7-011b-38cd-8e20-832ab6afda42
025259830,c2a9044e-ed71-3cf5-b41c-a077956eb1ce
025259849,392e8183-6004-3fd5-8253-2771967fa493
025259857,9943e5cb-6734-392f-ab65-dbba36596dbf
025259857,3d8bfc9a-e1ff-3224-851c-ec3c74c77eb1
025259881,83dc9d09-737e-3e15-b54c-830edd3e5773
025259881,3ed39ded-4f61-3058-8c3b-aad5872ea406
025259938,0ffe0647-a17d-34f6-ae5e-6d242e98b5c2
025259970,b9724834-3739-32b7-b9ee-597461f41de0
025260073,2fe59ddf-841b-3888-b386-7caf6a3d7501
025260111,271c91d0-2f8c-314d-af66-c4e41c536c8c
025260138,40c41451-7425-3ad5-acd1-283df8ab55a4
025260138,80b4cd33-23dc-3b8b-8cd1-9aa4c5b91e1f
